Title,movieId,bag_of_words
Now and Then,27,christinaricci rosieo'donnell thorabirch melaniegriffith leslilinkaglatter C h i l d r e n   D r a m a
Persuasion,28,sallyhawkins alicekrige anthonyhead juliadavis adrianshergold D r a m a   R o m a n c e
Persuasion,28,sallyhawkins alicekrige anthonyhead juliadavis adrianshergold D r a m a   R o m a n c e
Persuasion,74508,sallyhawkins alicekrige anthonyhead juliadavis adrianshergold D r a m a   R o m a n c e
Persuasion,74508,sallyhawkins alicekrige anthonyhead juliadavis adrianshergold D r a m a   R o m a n c e
Shanghai Triad,30,ligong baotianli xiaoxiaowang xuejianli yimouzhang C r i m e   D r a m a
Dangerous Minds,31,michellepfeiffer georgedzundza courtneyb.vance robinbartlett johnn.smith D r a m a
Wings of Courage,33,craigsheffer tomhulce elizabethmcgovern valkilmer jean-jacquesannaud A d v e n t u r e   R o m a n c e   I M A X
Babe,34,christinecavanaugh miriammargolyes dannymann hugoweaving chrisnoonan C h i l d r e n   D r a m a
Carrington,35,emmathompson jonathanpryce stevenwaddington samuelwest christopherhampton D r a m a   R o m a n c e
Dead Man Walking,36,susansarandon seanpenn robertprosky raymondj.barry timrobbins C r i m e   D r a m a
Across the Sea of Time,37,peterreznick johnmcdonough avihoffman victorsteinbach stephenlow D o c u m e n t a r y   I M A X
It Takes Two,38,kirstiealley steveguttenberg mary-kateolsen ashleyolsen andytennant C h i l d r e n   C o m e d y
Clueless,39,aliciasilverstone staceydash brittanymurphy paulrudd amyheckerling C o m e d y   R o m a n c e
"Cry, the Beloved Country",40,jamesearljones richardharris vusikunene charless.dutton darrellroodt D r a m a
Richard III,41,christopherbowen edwardjewesbury ianmckellen billpaterson richardloncraine D r a m a   W a r
Dead Presidents,42,"larenztate keithdavid christucker freddyrodríguez alberthughes,allenhughes A c t i o n   C r i m e   D r a m a"
Restoration,43,robertdowneyjr. samneill davidthewlis pollywalker michaelhoffman D r a m a
Restoration,43,robertdowneyjr. samneill davidthewlis pollywalker michaelhoffman D r a m a
Restoration,158390,robertdowneyjr. samneill davidthewlis pollywalker michaelhoffman H o r r o r
Restoration,158390,robertdowneyjr. samneill davidthewlis pollywalker michaelhoffman H o r r o r
Mortal Kombat,44,christopherlambert robinshou lindenashby cary-hiroyukitagawa paulw.s.anderson A c t i o n   A d v e n t u r e   F a n t a s y
To Die For,45,nicolekidman mattdillon joaquinphoenix caseyaffleck gusvansant C o m e d y   D r a m a   T h r i l l e r
How to Make an American Quilt,46,kaelynncraddick saracraddick katecapshaw adambaldwin jocelynmoorhouse D r a m a   R o m a n c e
Pocahontas,48,"joebaker christianbale irenebedard billyconnolly mikegabriel,ericgoldberg A n i m a t i o n   C h i l d r e n   D r a m a   M u s i c a l   R o m a n c e"
When Night Is Falling,49,pascalebussières rachaelcrawford henryczerny davidfox patriciarozema D r a m a   R o m a n c e
Guardian Angel,51,cynthiarothrock danielmcvicar lydiedenier marshallr.teague richardw.munchkin A c t i o n   D r a m a   T h r i l l e r
Mighty Aphrodite,52,pamelablair reneceballos eliechaib georgedelapena woodyallen C o m e d y   D r a m a   R o m a n c e
Lamerica,53,enricoloverso micheleplacido piromilkani carmelodimazzarelli gianniamelio A d v e n t u r e   D r a m a
Lamerica,53,enricoloverso micheleplacido piromilkani carmelodimazzarelli gianniamelio A d v e n t u r e   D r a m a
Lamerica,157357,enricoloverso micheleplacido piromilkani carmelodimazzarelli gianniamelio ( n o   g e n r e s   l i s t e d )
Lamerica,157357,enricoloverso micheleplacido piromilkani carmelodimazzarelli gianniamelio ( n o   g e n r e s   l i s t e d )
Georgia,55,jenniferjasonleigh marewinningham tedlevine maxperlich ulugrosbard D r a m a
Kids of the Round Table,56,johnnymorina maggiecastle christopherolscamp justinborntraeger roberttinnell A d v e n t u r e   C h i l d r e n   C o m e d y   F a n t a s y
Home for the Holidays,57,hollyhunter robertdowneyjr. annebancroft charlesdurning jodiefoster D r a m a
Home for the Holidays,57,hollyhunter robertdowneyjr. annebancroft charlesdurning jodiefoster D r a m a
Home for the Holidays,143982,hollyhunter robertdowneyjr. annebancroft charlesdurning jodiefoster C o m e d y   R o m a n c e
Home for the Holidays,143982,hollyhunter robertdowneyjr. annebancroft charlesdurning jodiefoster C o m e d y   R o m a n c e
Eye for an Eye,61,sallyfield edharris oliviaburnette alexandrakyle johnschlesinger D r a m a   T h r i l l e r
Eye for an Eye,61,sallyfield edharris oliviaburnette alexandrakyle johnschlesinger D r a m a   T h r i l l e r
Mr. Holland's Opus,62,richarddreyfuss glenneheadly jaythomas olympiadukakis stephenherek D r a m a
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,63,shawnwayans marlonwayans traceycherellejones chrisspencer parisbarclay C o m e d y   C r i m e
Bio-Dome,65,williamatherton denisedowse daratomanovich kevinwest jasonbloom C o m e d y
Lawnmower Man 2: Beyond Cyberspace,66,patrickbergin mattfrewer austino'brien elypouget farhadmann A c t i o n   S c i - F i   T h r i l l e r
Two Bits,67,jerrybarone maryelizabethmastrantonio alpacino patrickborriello jamesfoley D r a m a
Two Bits,67,jerrybarone maryelizabethmastrantonio alpacino patrickborriello jamesfoley D r a m a
French Twist,68,victoriaabril josianebalasko alainchabat tickyholgado josianebalasko C o m e d y   R o m a n c e
Friday,69,icecube christucker nialong tommy'tiny'lister f.garygray C o m e d y
Friday,69,icecube christucker nialong tommy'tiny'lister f.garygray C o m e d y
Friday,161157,icecube christucker nialong tommy'tiny'lister f.garygray C o m e d y
Friday,161157,icecube christucker nialong tommy'tiny'lister f.garygray C o m e d y
From Dusk Till Dawn,70,georgeclooney quentintarantino harveykeitel juliettelewis robertrodriguez A c t i o n   C o m e d y   H o r r o r   T h r i l l e r
Fair Game,71,naomiwatts sonyadavison vanessachong anandtiwari dougliman A c t i o n
Fair Game,71,naomiwatts sonyadavison vanessachong anandtiwari dougliman A c t i o n
Fair Game,81641,naomiwatts sonyadavison vanessachong anandtiwari dougliman D r a m a   T h r i l l e r
Fair Game,81641,naomiwatts sonyadavison vanessachong anandtiwari dougliman D r a m a   T h r i l l e r
Kicking and Screaming,72,joshhamilton samuelgould catherinekellner jonathanbaumbach noahbaumbach C o m e d y   D r a m a
Bed of Roses,74,christianslater marystuartmasterson pamelaadlon joshbrolin michaelgoldenberg D r a m a   R o m a n c e
Bed of Roses,74,christianslater marystuartmasterson pamelaadlon joshbrolin michaelgoldenberg D r a m a   R o m a n c e
Big Bully,75,rickmoranis tomarnold juliannephillips carolkane steveminer C o m e d y   D r a m a
Screamers,76,peterweller roydupuis jenniferrubin andrewlauer christianduguay A c t i o n   S c i - F i   T h r i l l e r
Screamers,76,peterweller roydupuis jenniferrubin andrewlauer christianduguay A c t i o n   S c i - F i   T h r i l l e r
Screamers,165797,peterweller roydupuis jenniferrubin andrewlauer christianduguay D o c u m e n t a r y
Screamers,165797,peterweller roydupuis jenniferrubin andrewlauer christianduguay D o c u m e n t a r y
Nico Icon,77,nico tinaaumont christianpäffgen edithboulogne susanneofteringer D o c u m e n t a r y
Things to Do in Denver When You're Dead,81,andygarcia christopherlloyd williamforsythe billnunn garyfleder C r i m e   D r a m a   R o m a n c e
Antonia's Line,82,willekevanammelrooy elsdottermans doravandergroen veerlevanoverloop marleengorris C o m e d y   D r a m a
Once Upon a Time... When We Were Colored,83,alfreemanjr. phyliciarashad leon paulakelly timreid D r a m a   R o m a n c e
Last Summer in the Hamptons,84,victoriafoyt vivecalindfors jonrobinbaitz savannahsmithboucher henryjaglom C o m e d y   D r a m a
Angels and Insects,85,markrylance kristinscottthomas patsykensit jeremykemp philiphaas D r a m a   R o m a n c e
White Squall,86,jeffbridges carolinegoodall johnsavage scottwolf ridleyscott A c t i o n   A d v e n t u r e   D r a m a
Dunston Checks In,87,jasonalexander fayedunaway ericlloyd ruperteverett kenkwapis C h i l d r e n   C o m e d y
Black Sheep,88,matthewchamberlain nickfenton samclarke elikent jonathanking C o m e d y
Black Sheep,88,matthewchamberlain nickfenton samclarke elikent jonathanking C o m e d y
Black Sheep,88,matthewchamberlain nickfenton samclarke elikent jonathanking C o m e d y
Black Sheep,55553,matthewchamberlain nickfenton samclarke elikent jonathanking C o m e d y   H o r r o r
Black Sheep,55553,matthewchamberlain nickfenton samclarke elikent jonathanking C o m e d y   H o r r o r
Black Sheep,55553,matthewchamberlain nickfenton samclarke elikent jonathanking C o m e d y   H o r r o r
Black Sheep,82726,matthewchamberlain nickfenton samclarke elikent jonathanking C o m e d y
Black Sheep,82726,matthewchamberlain nickfenton samclarke elikent jonathanking C o m e d y
Black Sheep,82726,matthewchamberlain nickfenton samclarke elikent jonathanking C o m e d y
Nick of Time,89,johnnydepp courtneychase charless.dutton christopherwalken johnbadham A c t i o n   T h r i l l e r
The Journey of August King,90,jasonpatric thandienewton larrydrake samwaterston johnduigan D r a m a
Mary Reilly,92,juliaroberts johnmalkovich georgecole michaelgambon stephenfrears D r a m a   H o r r o r   T h r i l l e r
Vampire in Brooklyn,93,eddiemurphy angelabassett allenpayne kadeemhardison wescraven C o m e d y   H o r r o r   R o m a n c e
Beautiful Girls,94,mattdillon noahemmerich annabethgish laurenholly teddemme C o m e d y   D r a m a   R o m a n c e
Broken Arrow,95,johntravolta christianslater samanthamathis delroylindo johnwoo A c t i o n   A d v e n t u r e   T h r i l l e r
Shopping,98,sadiefrost judelaw seanpertwee fraserjames paulw.s.anderson A c t i o n   T h r i l l e r
Heidi Fleiss: Hollywood Madam,99,nickbroomfield ninaxiningzuo madamalex corinnebohrer nickbroomfield D o c u m e n t a r y
City Hall,100,alpacino johncusack bridgetfonda dannyaiello haroldbecker D r a m a   T h r i l l e r
Bottle Rocket,101,lukewilson owenwilson neddowd sheafowler wesanderson A d v e n t u r e   C o m e d y   C r i m e   R o m a n c e
Bottle Rocket,101,lukewilson owenwilson neddowd sheafowler wesanderson A d v e n t u r e   C o m e d y   C r i m e   R o m a n c e
Bottle Rocket,192025,lukewilson owenwilson neddowd sheafowler wesanderson C o m e d y   C r i m e
Bottle Rocket,192025,lukewilson owenwilson neddowd sheafowler wesanderson C o m e d y   C r i m e
Mr. Wrong,102,ellendegeneres billpullman joancusack deanstockwell nickcastle C o m e d y
Happy Gilmore,104,adamsandler christophermcdonald juliebowen francesbay dennisdugan C o m e d y
Nobody Loves Me,106,mariaschrader pierresanoussi-bliss michaelvonau elisabethtrissenaar dorisdörrie C o m e d y   D r a m a
Muppet Treasure Island,107,"timcurry billyconnolly jennifersaunders kevinbishop brianhenson,davidlane A d v e n t u r e   C h i l d r e n   C o m e d y   M u s i c a l"
Catwalk,108,christyturlington azzedinealaïa giorgioarmani nadjaauermann robertleacock D o c u m e n t a r y
Headless Body in Topless Bar,109,raymondj.barry rustambranaman jennifermacdonald taylornichols jamesbruce C o m e d y   D r a m a   T h r i l l e r
Braveheart,110,jamesrobinson seanlawlor sandynelson jamescosmo melgibson A c t i o n   D r a m a   W a r
Rumble in the Bronx,112,jackiechan anitamui françoiseyip billtung stanleytong A c t i o n   A d v e n t u r e   C o m e d y   C r i m e
Before and After,113,merylstreep liamneeson edwardfurlong juliaweldon barbetschroeder D r a m a   M y s t e r y
Margaret's Museum,114,helenabonhamcarter cliverussell craigolejnik katenelligan mortransen D r a m a
Happiness Is in the Field,115,michelserrault eddymitchell sabineazéma carmenmaura étiennechatiliez C o m e d y
Anne Frank Remembered,116,kennethbranagh jannybrandes-brilslijper glennclose rosedeliema jonblair D o c u m e n t a r y
If Lucy Fell,118,sarahjessicaparker ericschaeffer benstiller ellemacpherson ericschaeffer C o m e d y   R o m a n c e
Race the Sun,120,halleberry jimbelushi billhunter caseyaffleck charlest.kanganis A d v e n t u r e   C o m e d y   D r a m a
Boomerang,122,eddiemurphy robingivens halleberry davidalangrier reginaldhudlin C o m e d y   R o m a n c e
Boomerang,122,eddiemurphy robingivens halleberry davidalangrier reginaldhudlin C o m e d y   R o m a n c e
Boomerang,152266,eddiemurphy robingivens halleberry davidalangrier reginaldhudlin D r a m a
Boomerang,152266,eddiemurphy robingivens halleberry davidalangrier reginaldhudlin D r a m a
Chungking Express,123,brigittelin tonychiu-waileung fayewong takeshikaneshiro kar-waiwong D r a m a   M y s t e r y   R o m a n c e
Jupiter's Wife,128,maggiecogan katinapendleton michelnegroponte D o c u m e n t a r y
Angela,130,mirandarhyne charlotteeveblythe annalevine johnventimiglia rebeccamiller D r a m a
Frankie Starlight,131,corbanwalker nialltoibin owenroe gabrielbyrne michaellindsay-hogg D r a m a   R o m a n c e
Jade,132,davidcaruso lindafiorentino chazzpalminteri richardcrenna williamfriedkin T h r i l l e r
Nueba Yol,133,luisitomartí caridadravelo raúlcarbonell rafaelvillalona ángelmuñiz C o m e d y   D r a m a
Sonic Outlaws,134,lloyddunn chrisgrigg markhosler donjoyce craigbaldwin D o c u m e n t a r y
Down Periscope,135,kelseygrammer laurenholly robschneider harrydeanstanton davids.ward C o m e d y
From the Journals of Jean Seberg,136,marybethhurt jeanseberg markrappaport D o c u m e n t a r y
Man of the Year,137,robinwilliams christopherwalken lauralinney lewisblack barrylevinson D o c u m e n t a r y
Man of the Year,137,robinwilliams christopherwalken lauralinney lewisblack barrylevinson D o c u m e n t a r y
Man of the Year,48593,robinwilliams christopherwalken lauralinney lewisblack barrylevinson C o m e d y   T h r i l l e r
Man of the Year,48593,robinwilliams christopherwalken lauralinney lewisblack barrylevinson C o m e d y   T h r i l l e r
Target,139,genehackman mattdillon gaylehunnicutt randymoore arthurpenn A c t i o n   D r a m a
Gospa,143,martinsheen michaelyork morganfairchild paulguilfoyle jakovsedlar D r a m a
Bad Boys,145,lisaboyle michaeltaliferro emmanuelxuereb tchékykaryo michaelbay A c t i o n   C o m e d y   C r i m e   D r a m a   T h r i l l e r
Bad Boys,145,lisaboyle michaeltaliferro emmanuelxuereb tchékykaryo michaelbay A c t i o n   C o m e d y   C r i m e   D r a m a   T h r i l l e r
Bad Boys,132561,lisaboyle michaeltaliferro emmanuelxuereb tchékykaryo michaelbay D o c u m e n t a r y
Bad Boys,132561,lisaboyle michaeltaliferro emmanuelxuereb tchékykaryo michaelbay D o c u m e n t a r y
Amateur,149,isabellehuppert martindonovan elinalöwensohn damianyoung halhartley C r i m e   D r a m a   T h r i l l e r
Apollo 13,150,tomhanks billpaxton kevinbacon garysinise ronhoward A d v e n t u r e   D r a m a   I M A X
Rob Roy,151,liamneeson jessicalange johnhurt timroth michaelcaton-jones A c t i o n   D r a m a   R o m a n c e   W a r
Batman Forever,153,valkilmer tommyleejones jimcarrey nicolekidman joelschumacher A c t i o n   A d v e n t u r e   C o m e d y   C r i m e
Beyond Rangoon,155,patriciaarquette uaungko francesmcdormand spaldinggray johnboorman A d v e n t u r e   D r a m a   W a r
Blue in the Face,156,"loureed michaelj.fox roseannebarr melgorham paulauster,waynewang,harveywang C o m e d y   D r a m a"
Canadian Bacon,157,johncandy alanalda rheaperlman kevinpollak michaelmoore C o m e d y   W a r
Casper,158,chaunceyleopardi spencervrooman malachipearson cathymoriarty bradsilberling A d v e n t u r e   C h i l d r e n
Clockers,159,harveykeitel johnturturro delroylindo mekhiphifer spikelee C r i m e   D r a m a   M y s t e r y
Congo,160,lauralinney dylanwalsh erniehudson timcurry frankmarshall A c t i o n   A d v e n t u r e   M y s t e r y   S c i - F i
Crimson Tide,161,denzelwashington genehackman mattcraven georgedzundza tonyscott D r a m a   T h r i l l e r   W a r
Crumb,162,robertcrumb alinekominsky charlescrumb maxoncrumb terryzwigoff D o c u m e n t a r y
Desperado,163,antoniobanderas salmahayek joaquimdealmeida cheechmarin robertrodriguez A c t i o n   R o m a n c e   W e s t e r n
Devil in a Blue Dress,164,denzelwashington tomsizemore jenniferbeals doncheadle carlfranklin C r i m e   F i l m - N o i r   M y s t e r y   T h r i l l e r
Die Hard: With a Vengeance,165,brucewillis jeremyirons samuell.jackson grahamgreene johnmctiernan A c t i o n   C r i m e   T h r i l l e r
Die Hard: With a Vengeance,165,brucewillis jeremyirons samuell.jackson grahamgreene johnmctiernan A c t i o n   C r i m e   T h r i l l e r
Feast of July,167,embethdavidtz tombell gemmajones jamespurefoy christophermenaul D r a m a
First Knight,168,seanconnery richardgere juliaormond bencross jerryzucker A c t i o n   D r a m a   R o m a n c e
Free Willy 2: The Adventure Home,169,jasonjamesrichter franciscapra marykateschellhardt augustschellenberg dwighth.little A d v e n t u r e   C h i l d r e n   D r a m a
Hackers,170,jonnyleemiller angelinajolie jessebradford matthewlillard iainsoftley A c t i o n   A d v e n t u r e   C r i m e   T h r i l l e r
Jeffrey,171,stevenweber peterjacobson tomcayler davidthornton christopherashley C o m e d y   D r a m a
Johnny Mnemonic,172,keanureeves dinameyer ice-t takeshikitano robertlongo A c t i o n   S c i - F i   T h r i l l e r
Judge Dredd,173,sylvesterstallone armandassante robschneider jürgenprochnow dannycannon A c t i o n   C r i m e   S c i - F i
Jury Duty,174,paulyshore tiacarrere stanleytucci briandoyle-murray johnfortenberry C o m e d y
Kids,175,leofitzpatrick sarahhenderson justinpierce josephchan larryclark D r a m a
Kids,175,leofitzpatrick sarahhenderson justinpierce josephchan larryclark D r a m a
Kids,176353,leofitzpatrick sarahhenderson justinpierce josephchan larryclark D r a m a   F a n t a s y
Kids,176353,leofitzpatrick sarahhenderson justinpierce josephchan larryclark D r a m a   F a n t a s y
Living in Oblivion,176,stevebuscemi catherinekeener dermotmulroney daniellevonzerneck tomdicillo C o m e d y
Lord of Illusions,177,scottbakula j.trevoredmond danielvonbargen kevinj.o'connor clivebarker H o r r o r
Mad Love,179,chriso'donnell drewbarrymore matthewlillard richardchaim antoniabird D r a m a   R o m a n c e
Mad Love,179,chriso'donnell drewbarrymore matthewlillard richardchaim antoniabird D r a m a   R o m a n c e
Mad Love,5559,chriso'donnell drewbarrymore matthewlillard richardchaim antoniabird D r a m a
Mad Love,5559,chriso'donnell drewbarrymore matthewlillard richardchaim antoniabird D r a m a
Mallrats,180,shannendoherty jeremylondon jasonlee claireforlani kevinsmith C o m e d y   R o m a n c e
Mighty Morphin Power Rangers: The Movie,181,karanashley johnnyyongbosch stevecardenas jasondavidfrank bryanspicer A c t i o n   C h i l d r e n
Moonlight and Valentino,182,elizabethperkins whoopigoldberg shadiasimmons ericaluttrell davidanspaugh D r a m a   R o m a n c e
Mute Witness,183,marinazudina fayripley evanrichards olegyankovskiy anthonywaller C o m e d y   H o r r o r   T h r i l l e r
Nadja,184,elinalöwensohn nicratner karlgeary peterfonda michaelalmereyda D r a m a
Nine Months,186,hughgrant juliannemoore tomarnold joancusack chriscolumbus C o m e d y   R o m a n c e
Party Girl,187,parkerposey anthonydesando guillermodíaz donnamitchell daisyvonscherlermayer C o m e d y
Party Girl,187,parkerposey anthonydesando guillermodíaz donnamitchell daisyvonscherlermayer C o m e d y
Party Girl,127650,parkerposey anthonydesando guillermodíaz donnamitchell daisyvonscherlermayer D r a m a
Party Girl,127650,parkerposey anthonydesando guillermodíaz donnamitchell daisyvonscherlermayer D r a m a
Safe,190,jasonstatham catherinechan robertjohnburke jameshong boazyakin T h r i l l e r
Safe,190,jasonstatham catherinechan robertjohnburke jameshong boazyakin T h r i l l e r
Safe,94405,jasonstatham catherinechan robertjohnburke jameshong boazyakin A c t i o n   C r i m e   T h r i l l e r
Safe,94405,jasonstatham catherinechan robertjohnburke jameshong boazyakin A c t i o n   C r i m e   T h r i l l e r
The Show,192,joshduhamel giancarloesposito famkejanssen caitlinfitzgerald giancarloesposito D o c u m e n t a r y
Showgirls,193,elizabethberkley kylemaclachlan ginagershon glennplummer paulverhoeven D r a m a
Smoke,194,giancarloesposito josézúñiga stephengevedon harveykeitel waynewang C o m e d y   D r a m a
Smoke,194,giancarloesposito josézúñiga stephengevedon harveykeitel waynewang C o m e d y   D r a m a
Something to Talk About,195,juliaroberts dennisquaid robertduvall genarowlands lassehallström C o m e d y   D r a m a   R o m a n c e
Species,196,benkingsley michaelmadsen alfredmolina forestwhitaker rogerdonaldson H o r r o r   S c i - F i
Strange Days,198,ralphfiennes angelabassett juliettelewis tomsizemore kathrynbigelow A c t i o n   C r i m e   D r a m a   M y s t e r y   S c i - F i   T h r i l l e r
Three Wishes,201,patrickswayze maryelizabethmastrantonio josephmazzello sethmumy marthacoolidge D r a m a   F a n t a s y
Total Eclipse,202,leonardodicaprio davidthewlis romanebohringer dominiqueblanc agnieszkaholland D r a m a   R o m a n c e
Under Siege 2: Dark Territory,204,stevenseagal ericbogosian everettmcgill katherineheigl geoffmurphy A c t i o n
Unstrung Heroes,205,andiemacdowell johnturturro michaelrichards maurychaykin dianekeaton C o m e d y   D r a m a
Unzipped,206,roseannebarr sandrabernhard robertbest nataneboudreau douglaskeeve D o c u m e n t a r y
Waterworld,208,kevincostner chaimjeraffi rickaviles r.d.call kevinreynolds A c t i o n   A d v e n t u r e   S c i - F i
White Man's Burden,209,johntravolta harrybelafonte kellylynch margaretavery desmondnakano D r a m a
Wild Bill,210,charliecreed-miles willpoulter sammywilliams iwanrheon dexterfletcher W e s t e r n
Wild Bill,210,charliecreed-miles willpoulter sammywilliams iwanrheon dexterfletcher W e s t e r n
Wild Bill,95804,charliecreed-miles willpoulter sammywilliams iwanrheon dexterfletcher C r i m e   D r a m a
Wild Bill,95804,charliecreed-miles willpoulter sammywilliams iwanrheon dexterfletcher C r i m e   D r a m a
Bushwhacked,212,danielstern jonpolito bradsullivan anndowd gregbeeman A d v e n t u r e   C o m e d y   C r i m e   M y s t e r y
Burnt by the Sun,213,olegmenshikov nikitamikhalkov ingeborgadapkunaite nadezhdamikhalkova nikitamikhalkov D r a m a
Before the Rain,214,grégoirecolin josifjosifovski borisdelcevski dejanvelkov milchomanchevski D r a m a   W a r
Before Sunrise,215,ethanhawke juliedelpy andreaeckert hannopöschl richardlinklater D r a m a   R o m a n c e
Billy Madison,216,adamsandler darrenmcgavin bridgettewilson-sampras bradleywhitford tamradavis C o m e d y
Boys on the Side,218,whoopigoldberg mary-louiseparker drewbarrymore matthewmcconaughey herbertross C o m e d y   D r a m a
Castle Freak,220,jeffreycombs barbaracrampton jonathanfuller jessicadollarhide stuartgordon H o r r o r
Circle of Friends,222,chriso'donnell minniedriver geraldineo'rawe saffronburrows pato'connor D r a m a   R o m a n c e
Clerks,223,briano'halloran jeffanderson marilynghigliotti lisaspoonauer kevinsmith C o m e d y
Don Juan DeMarco,224,marlonbrando johnnydepp fayedunaway géraldinepailhas jeremyleven C o m e d y   D r a m a   R o m a n c e
Disclosure,225,michaeldouglas demimoore donaldsutherland carolinegoodall barrylevinson D r a m a   T h r i l l e r
Dream Man,226,patsykensit brucegreenwood andrewmccarthy denisecrosby renébonnière T h r i l l e r
Drop Zone,227,wesleysnipes garybusey yancybutler michaeljeter johnbadham A c t i o n   T h r i l l e r
Destiny Turns on the Radio,228,dylanmcdermott nancytravis jameslegros quentintarantino jackbaran C o m e d y
Death and the Maiden,229,sigourneyweaver benkingsley stuartwilson krystiamova romanpolanski D r a m a   T h r i l l e r
Dolores Claiborne,230,kathybates jenniferjasonleigh judyparfitt christopherplummer taylorhackford D r a m a   T h r i l l e r
Eat Drink Man Woman,232,sihunglung yu-wenwang chien-lienwu kuei-meiyang anglee C o m e d y   D r a m a   R o m a n c e
Exotica,233,brucegreenwood miakirshner donmckellar eliaskoteas atomegoyan D r a m a
Exit to Eden,234,danadelany paulmercurio rosieo'donnell danaykroyd garrymarshall C o m e d y
Ed Wood,235,johnnydepp martinlandau sarahjessicaparker patriciaarquette timburton C o m e d y   D r a m a
French Kiss,236,megryan kevinkline timothyhutton jeanreno lawrencekasdan A c t i o n   C o m e d y   R o m a n c e
Forget Paris,237,billycrystal debrawinger joemantegna cynthiastevenson billycrystal C o m e d y   R o m a n c e
Hideaway,240,jeffgoldblum christinelahti aliciasilverstone jeremysisto brettleonard T h r i l l e r
Hideaway,240,jeffgoldblum christinelahti aliciasilverstone jeremysisto brettleonard T h r i l l e r
Hideaway,84807,jeffgoldblum christinelahti aliciasilverstone jeremysisto brettleonard D r a m a
Hideaway,84807,jeffgoldblum christinelahti aliciasilverstone jeremysisto brettleonard D r a m a
Fluke,241,samuell.jackson matthewmodine nancytravis ericstoltz carlocarlei C h i l d r e n   D r a m a
Fluke,241,samuell.jackson matthewmodine nancytravis ericstoltz carlocarlei C h i l d r e n   D r a m a
Fluke,151519,samuell.jackson matthewmodine nancytravis ericstoltz carlocarlei C o m e d y
Fluke,151519,samuell.jackson matthewmodine nancytravis ericstoltz carlocarlei C o m e d y
Gordy,243,dougstone kristyyoung jamesdonadio deborahhobart marklewis C h i l d r e n   C o m e d y   F a n t a s y
The Glass Shield,245,erichanderson richardanderson thomasbabson montybane charlesburnett C r i m e   D r a m a
Hoop Dreams,246,williamgates arthuragee emmagates curtisgates stevejames D o c u m e n t a r y
