Title,genres,Director,Actors
Elizabeth,Drama,Shekhar Kapur,"Liz Giles, Rod Culbertson, Paul Fox, Terence Rigby"
Shakespeare in Love,Comedy|Drama|Romance,John Madden,"Geoffrey Rush, Tom Wilkinson, Steven O'Donnell, Tim McMullan"
20 Dates,Comedy|Romance,Myles Berkowitz,"Myles Berkowitz, Elisabeth Wagner, Richard Arlook, Tia Carrere"
Office Space,Comedy|Crime,Mike Judge,"Ron Livingston, Jennifer Aniston, David Herman, Ajay Naidu"
Analyze This,Comedy,Harold Ramis,"Robert De Niro, Billy Crystal, Lisa Kudrow, Chazz Palminteri"
Cruel Intentions,Drama,Roger Kumble,"Sarah Michelle Gellar, Ryan Phillippe, Reese Witherspoon, Selma Blair"
Never Been Kissed,Comedy|Romance,Raja Gosnell,"Drew Barrymore, David Arquette, Michael Vartan, Molly Shannon"
Pushing Tin,Comedy,Mike Newell,"John Cusack, Billy Bob Thornton, Cate Blanchett, Angelina Jolie"
Election,Comedy,Alexander Payne,"Matthew Broderick, Reese Witherspoon, Chris Klein, Jessica Campbell"
Entrapment,Crime|Thriller,Jon Amiel,"Sean Connery, Catherine Zeta-Jones, Ving Rhames, Will Patton"
Star Wars: Episode I - The Phantom Menace,Action|Adventure|Sci-Fi,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd"
American Pie,Comedy|Romance,"Paul Weitz, Chris Weitz","Jason Biggs, Jennifer Coolidge, Shannon Elizabeth, Alyson Hannigan"
Arlington Road,Thriller,Mark Pellington,"Jeff Bridges, Tim Robbins, Joan Cusack, Hope Davis"
Eyes Wide Shut,Drama|Mystery|Thriller,Stanley Kubrick,"Tom Cruise, Nicole Kidman, Madison Eginton, Jackie Sawiris"
Mystery Men,Action|Comedy|Fantasy,Kinka Usher,"Hank Azaria, Janeane Garofalo, William H. Macy, Kel Mitchell"
Teaching Mrs. Tingle,Comedy|Thriller,Kevin Williamson,"Helen Mirren, Katie Holmes, Jeffrey Tambor, Barry Watson"
Stigmata,Drama|Thriller,Rupert Wainwright,"Patricia Arquette, Gabriel Byrne, Jonathan Pryce, Nia Long"
American Beauty,Drama|Romance,Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley"
Double Jeopardy,Action|Crime|Drama|Thriller,Bruce Beresford,"Tommy Lee Jones, Ashley Judd, Benjamin Weir, Jay Brazeau"
Total Recall,Action|Adventure|Sci-Fi|Thriller,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox"
Fight Club,Action|Crime|Drama|Thriller,David Fincher,"Edward Norton, Brad Pitt, Meat Loaf, Zach Grenier"
Being John Malkovich,Comedy|Drama|Fantasy,Spike Jonze,"John Cusack, Cameron Diaz, Ned Bellamy, Eric Weinstein"
Toy Story 2,Adventure|Animation|Children|Comedy|Fantasy,"John Lasseter, Ash Brannon(co-director), Lee Unkrich(co-director)","Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer"
Snow Falling on Cedars,Drama,Scott Hicks,"Ethan Hawke, Yûki Kudô, Reeve Carney, Anne Suzuki"
Pacific Heights,Mystery|Thriller,John Schlesinger,"Melanie Griffith, Matthew Modine, Michael Keaton, Mako"
Down to You,Comedy|Romance,Kris Isacsson,"Freddie Prinze Jr., Julia Stiles, Selma Blair, Shawn Hatosy"
Forever Young,Drama|Romance|Sci-Fi,Steve Miner,"Mel Gibson, Jamie Lee Curtis, Elijah Wood, Isabel Glasser"
Boiler Room,Crime|Drama|Thriller,Ben Younger,"Giovanni Ribisi, Vin Diesel, Nia Long, Nicky Katt"
Erin Brockovich,Drama,Steven Soderbergh,"Julia Roberts, David Brisbin, Dawn Didawick, Albert Finney"
High Fidelity,Comedy|Drama|Romance,Stephen Frears,"John Cusack, Iben Hjejle, Todd Louiso, Jack Black"
Frequency,Drama|Thriller,Gregory Hoblit,"Dennis Quaid, Jim Caviezel, Shawn Doyle, Elizabeth Mitchell"
Gladiator,Action|Adventure|Drama,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
Shanghai Noon,Action|Adventure|Comedy|Western,Tom Dey,"Jackie Chan, Owen Wilson, Lucy Liu, Brandon Merrill"
Restoration,Drama,Michael Hoffman,"Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker"
Mr. Holland's Opus,Drama,Stephen Herek,"Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis"
Kids,Drama,Larry Clark,"Leo Fitzpatrick, Sarah Henderson, Justin Pierce, Joseph Chan"
Living in Oblivion,Comedy,Tom DiCillo,"Steve Buscemi, Catherine Keener, Dermot Mulroney, Danielle von Zerneck"
Mallrats,Comedy|Romance,Kevin Smith,"Shannen Doherty, Jeremy London, Jason Lee, Claire Forlani"
Clerks,Comedy,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti, Lisa Spoonauer"
Exotica,Drama,Atom Egoyan,"Bruce Greenwood, Mia Kirshner, Don McKellar, Elias Koteas"
Queen Margot,Drama|Romance,Patrice Chéreau,"Isabelle Adjani, Daniel Auteuil, Jean-Hugues Anglade, Vincent Perez"
Farewell My Concubine,Drama|Romance,Kaige Chen,"Leslie Cheung, Fengyi Zhang, Li Gong, Qi Lü"
Shadowlands,Drama|Romance,Richard Attenborough,"Julian Fellowes, Roddy Maude-Roxby, Michael Denison, Andrew Seear"
Sleepless in Seattle,Comedy|Drama|Romance,Nora Ephron,"Tom Hanks, Ross Malinger, Rita Wilson, Victor Garber"
Welcome to the Dollhouse,Comedy|Drama,Todd Solondz,"Heather Matarazzo, Victoria Davis, Christina Brucato, Christina Vidal"
Jane Eyre,Drama|Romance,Cary Joji Fukunaga,"Mia Wasikowska, Jamie Bell, Su Elliot, Holliday Grainger"
Lone Star,Drama|Mystery|Western,John Sayles,"Stephen Mendillo, Stephen J. Lang, Chris Cooper, Elizabeth Peña"
Emma,Comedy|Drama|Romance,Douglas McGrath,"Gwyneth Paltrow, James Cosmo, Greta Scacchi, Alan Cumming"
Cyrano de Bergerac,Comedy|Drama|Romance,Jean-Paul Rappeneau,"Gérard Depardieu, Anne Brochet, Vincent Perez, Jacques Weber"
Ridicule,Drama,Patrice Leconte,"Charles Berling, Jean Rochefort, Fanny Ardant, Judith Godrèche"
In Love and War,Romance|War,Richard Attenborough,"Mackenzie Astin, Chris O'Donnell, Margot Steinberg, Sandra Bullock"
Private Parts,Comedy|Drama,Betty Thomas,"Howard Stern, Robin Quivers, Mary McCormack, Fred Norris"
Romy and Michele's High School Reunion,Comedy,David Mirkin,"Mira Sorvino, Lisa Kudrow, Janeane Garofalo, Alan Cumming"
Love! Valour! Compassion!,Drama|Romance,Joe Mantello,"Jason Alexander, Stephen Spinella, Stephen Bogardus, Randy Becker"
Star Maps,Drama,Miguel Arteta,"Douglas Spain, Efrain Figueroa, Kandeyce Jorden, Martha Velez"
Chasing Amy,Comedy|Drama|Romance,Kevin Smith,"Ethan Suplee, Ben Affleck, Scott Mosier, Jason Lee"
In God's Hands,Action|Drama,Zalman King,"Shane Dorian, Matt George, Matty Liu, Shaun Tomson"
There's Something About Mary,Comedy|Romance,"Bobby Farrelly, Peter Farrelly","Cameron Diaz, Matt Dillon, Ben Stiller, Lee Evans"
Ever After: A Cinderella Story,Comedy|Drama|Romance,Andy Tennant,"Drew Barrymore, Anjelica Huston, Dougray Scott, Patrick Godfrey"
Simon Birch,Drama,Mark Steven Johnson,"Joseph Mazzello, Ashley Judd, Oliver Platt, David Strathairn"
Permanent Midnight,Drama,David Veloz,"Ben Stiller, Maria Bello, Jay Paulson, Spencer Garrett"
Happiness,Comedy|Drama,Todd Solondz,"Jane Adams, Jon Lovitz, Philip Seymour Hoffman, Dylan Baker"
Life Is Beautiful,Comedy|Drama|Romance|War,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano"
American History X,Crime|Drama,Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien"
Celebrity,Comedy,Woody Allen,"Greg Mottola, Jeff Mazzola, Dick Mingalone, Vladimir Bibic"
Central Station,Drama,Walter Salles,"Fernanda Montenegro, Marília Pêra, Vinícius de Oliveira, Soia Lira"
Patch Adams,Comedy|Drama,Tom Shadyac,"Robin Williams, Daniel London, Monica Potter, Philip Seymour Hoffman"
Affliction,Drama,Paul Schrader,"Nick Nolte, Brigid Tierney, Holmes Osborne, Jim True-Frost"
Hilary and Jackie,Drama,Anand Tucker,"Emily Watson, Rachel Griffiths, James Frain, David Morrissey"
At First Sight,Drama,Irwin Winkler,"Val Kilmer, Mira Sorvino, Kelly McGillis, Steven Weber"
In Dreams,Horror|Thriller,Neil Jordan,"Annette Bening, Katie Sagona, Aidan Quinn, Robert Downey Jr."
Varsity Blues,Comedy|Drama,Brian Robbins,"James Van Der Beek, Jon Voight, Paul Walker, Ron Lester"
My Name Is Joe,Drama|Romance,Ken Loach,"Peter Mullan, Louise Goodall, Gary Lewis, Lorraine McIntosh"
Payback,Action|Thriller,Brian Helgeland,"Mel Gibson, Gregg Henry, Maria Bello, David Paymer"
Blast from the Past,Comedy|Romance,Hugh Wilson,"Brendan Fraser, Alicia Silverstone, Christopher Walken, Sissy Spacek"
200 Cigarettes,Comedy|Drama,Risa Bramon Garcia,"Ben Affleck, Casey Affleck, Jennifer Albano, Jenni Blong"
8MM,Drama|Mystery|Thriller,Joel Schumacher,"Nicolas Cage, Joaquin Phoenix, James Gandolfini, Peter Stormare"
10 Things I Hate About You,Comedy|Romance,Gil Junger,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik"
Go,Comedy|Crime,Doug Liman,"Katie Holmes, Sarah Polley, Suzanne Krull, Desmond Askew"
Three Seasons,Drama,Tony Bui,"Ngoc Hiep Nguyen, Ngoc Minh, Phat Trieu Hoang, Diem Kieu"
Limbo,Drama,John Sayles,"Michael Laskin, Leo Burmester, Hermínio Ramos, Dawn McInturff"
Austin Powers: The Spy Who Shagged Me,Action|Adventure|Comedy,Jay Roach,"Mike Myers, Heather Graham, Michael York, Robert Wagner"
Twin Falls Idaho,Drama,Michael Polish,"Mark Polish, Michael Polish, Michele Hicks, Jon Gries"
West Beirut,Drama,Ziad Doueiri,"Rami Doueiri, Naamar Sahli, Mohamad Chamas, Rola Al Amin"
Stir of Echoes,Horror|Mystery|Thriller,David Koepp,"Zachary David Cope, Kevin Bacon, Kathryn Erbe, Illeana Douglas"
Sugar Town,Comedy,"Allison Anders, Kurt Voss","Jade Gordon, John Taylor, Michael Des Barres, Martin Kemp"
Sommersby,Drama|Mystery|Romance,Jon Amiel,"Richard Gere, Jodie Foster, Lanny Flaherty, Wendell Wellman"
Romance,Drama|Romance,Catherine Breillat,"Caroline Ducey, Sagamore Stévenin, François Berléand, Rocco Siffredi"
Music of the Heart,Drama,Wes Craven,"Meryl Streep, Cloris Leachman, Henry Dinhofer, Michael Angarano"
American Movie,Documentary,Chris Smith,"Mark Borchardt, Tom Schimmels, Monica Borchardt, Alex Borchardt"
Felicia's Journey,Thriller,Atom Egoyan,"Bob Hoskins, Arsinée Khanjian, Elaine Cassidy, Sheila Reid"
All About My Mother,Drama,Pedro Almodóvar,"Cecilia Roth, Marisa Paredes, Candela Peña, Antonia San Juan"
Magnolia,Drama,Paul Thomas Anderson,"Pat Healy, Genevieve Zweig, Mark Flanagan, Neil Flynn"
Man on the Moon,Comedy|Drama,Milos Forman,"Jim Carrey, Gerry Becker, Greyson Erik Pendry, Brittany Colonna"
Solas,Drama,Benito Zambrano,"María Galiana, Ana Fernández, Carlos Álvarez-Nóvoa, Antonio Dechent"
Woman on Top,Comedy|Romance,Fina Torres,"Penélope Cruz, Murilo Benício, Harold Perrineau, Mark Feuerstein"
Best in Show,Comedy,Christopher Guest,"Jay Brazeau, Parker Posey, Michael Hitchcock, Catherine O'Hara"
Meet the Parents,Comedy,Jay Roach,"Robert De Niro, Ben Stiller, Teri Polo, Blythe Danner"
Requiem for a Dream,Drama,Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans"
"Crouching Tiger, Hidden Dragon",Action|Drama|Romance,Ang Lee,"Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang"
Chocolat,Drama|Romance,Lasse Hallström,"Alfred Molina, Carrie-Anne Moss, Aurelien Parent Koenig, Antonio Gil"
Pollock,Drama,Ed Harris,"Ed Harris, Robert Knott, Molly Regan, Marcia Gay Harden"
"O Brother, Where Art Thou?",Adventure|Comedy|Crime,"Joel Coen, Ethan Coen","George Clooney, John Turturro, Tim Blake Nelson, John Goodman"
Songcatcher,Drama,Maggie Greenwald,"Janet McTeer, Michael Davis, Michael Goodwin, Gregory Russell Cook"
Memento,Mystery|Thriller,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior"
Bridget Jones's Diary,Comedy|Drama|Romance,Sharon Maguire,"Renée Zellweger, Gemma Jones, Celia Imrie, James Faulkner"
Sexy Beast,Crime|Drama,Jonathan Glazer,"Ray Winstone, Ben Kingsley, Ian McShane, Amanda Redman"
Gosford Park,Comedy|Drama|Mystery,Robert Altman,"Maggie Smith, Michael Gambon, Kristin Scott Thomas, Camilla Rutherford"
Monster's Ball,Drama|Romance,Marc Forster,"Billy Bob Thornton, Taylor Simpson, Gabrielle Witcher, Heath Ledger"
Frida,Drama|Romance,Julie Taymor,"Salma Hayek, Mía Maestro, Alfred Molina, Antonio Banderas"
Ararat,Drama|War,Atom Egoyan,"Simon Abkarian, Charles Aznavour, Christopher Plummer, Arsinée Khanjian"
Talk to Her,Drama|Romance,Pedro Almodóvar,"Javier Cámara, Darío Grandinetti, Leonor Watling, Rosario Flores"
Love Liza,Drama,Todd Louiso,"Philip Seymour Hoffman, J.D. Walsh, Jimmy Raskin, Kathy Bates"
Nowhere in Africa,Drama,Caroline Link,"Juliane Köhler, Merab Ninidze, Sidede Onyulo, Matthias Habich"
Stevie,Documentary,Steve James,"Steve James, Stephen Fielding, Tonya Gregory, Bernice Hagler"
Spellbound,Documentary,Alfred Hitchcock,"Ingrid Bergman, Gregory Peck, Michael Chekhov, Leo G. Carroll"
Capturing the Friedmans,Documentary,Andrew Jarecki,"Arnold Friedman, Elaine Friedman, David Friedman, Seth Friedman"
Together,Drama,Lukas Moodysson,"Lisa Lindgren, Michael Nyqvist, Emma Samuelsson, Sam Kessel"
American Splendor,Comedy|Drama,"Shari Springer Berman, Robert Pulcini","Chris Ambrose, Joey Krajcar, Josh Hutcherson, Cameron Carter"
Lost in Translation,Comedy|Drama|Romance,Sofia Coppola,"Scarlett Johansson, Bill Murray, Akiko Takeshita, Kazuyoshi Minamimagoe"
Pieces of April,Comedy|Drama,Peter Hedges,"Katie Holmes, Derek Luke, Oliver Platt, Alison Pill"
Fahrenheit 9/11,Documentary,Michael Moore,"Ben Affleck, Stevie Wonder, George W. Bush, James Baker III"
Sense and Sensibility,Drama|Romance,Ang Lee,"James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet"
Richard III,Drama|War,Richard Loncraine,"Christopher Bowen, Edward Jewesbury, Ian McKellen, Bill Paterson"
Apollo 13,Adventure|Drama|IMAX,Ron Howard,"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise"
Forrest Gump,Comedy|Drama|Romance|War,Robert Zemeckis,"Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys"
Four Weddings and a Funeral,Comedy|Romance,Mike Newell,"Hugh Grant, James Fleet, Simon Callow, John Hannah"
Dances with Wolves,Adventure|Drama|Western,Kevin Costner,"Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant"
Reservoir Dogs,Crime|Mystery|Thriller,Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn"
Delicatessen,Comedy|Drama|Romance,"Marc Caro, Jean-Pierre Jeunet","Pascal Benezech, Dominique Pinon, Marie-Laure Dougnac, Jean-Claude Dreyfus"
Smilla's Sense of Snow,Drama|Thriller,Bille August,"Ona Fletcher, Julia Ormond, Agga Olsen, Patrick Field"
Con Air,Action|Adventure|Thriller,Simon West,"Colm Meaney, Mykelti Williamson, Nick Chinlund, Renoly Santiago"
The Devil's Advocate,Drama|Mystery|Thriller,Taylor Hackford,"Keanu Reeves, Al Pacino, Charlize Theron, Jeffrey Jones"
"Fast, Cheap & Out of Control",Documentary,Errol Morris,"Dave Hoover, George Mendonça, Raymond A. Mendez, Rodney Brooks"
Pi,Drama|Sci-Fi|Thriller,Darren Aronofsky,"Sean Gullette, Mark Margolis, Ben Shenkman, Pamela Hart"
Princess Mononoke,Action|Adventure|Animation|Drama|Fantasy,Hayao Miyazaki,"Billy Crudup, Billy Bob Thornton, Minnie Driver, John DiMaggio"
Titus,Drama,Julie Taymor,"Osheen Jones, Dario D'Ambrosi, Anthony Hopkins, Jessica Lange"
"Girl, Interrupted",Drama,James Mangold,"Winona Ryder, Angelina Jolie, Clea DuVall, Brittany Murphy"
Ghost Dog: The Way of the Samurai,Crime|Drama,Jim Jarmusch,"Forest Whitaker, John Tormey, Cliff Gorman, Dennis Liu"
U-571,Action|Thriller|War,Jonathan Mostow,"Matthew McConaughey, Bill Paxton, Harvey Keitel, Jon Bon Jovi"
Mission: Impossible II,Action|Adventure|Thriller,John Woo,"Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames"
Nurse Betty,Comedy|Crime|Drama|Romance|Thriller,Neil LaBute,"Morgan Freeman, Renée Zellweger, Chris Rock, Greg Kinnear"
Almost Famous,Drama,Cameron Crowe,"Billy Crudup, Frances McDormand, Kate Hudson, Jason Lee"
Dancer in the Dark,Drama|Musical,Lars von Trier,"Björk, Catherine Deneuve, David Morse, Peter Stormare"
You Can Count on Me,Drama|Romance,Kenneth Lonergan,"Amy Ryan, Michael Countryman, Adam LeFevre, Halley Feiffer"
Unbreakable,Drama|Sci-Fi,M. Night Shyamalan,"Bruce Willis, Samuel L. Jackson, Robin Wright, Spencer Treat Clark"
Cast Away,Drama,Robert Zemeckis,"Paul Sanchez, Lari White, Leonid Citer, David Allen Brooks"
State and Main,Comedy|Drama,David Mamet,"Michael Higgins, Michael Bradshaw, Morris Lamore, Allen Soule"
Save the Last Dance,Drama|Romance,Thomas Carter,"Julia Stiles, Sean Patrick Thomas, Kerry Washington, Fredro Starr"
Panic,Drama,Henry Bromell,"William H. Macy, John Ritter, Neve Campbell, Donald Sutherland"
Hannibal,Horror|Thriller,Ridley Scott,"Anthony Hopkins, Julianne Moore, Gary Oldman, Ray Liotta"
